month,category,amount_mvr,cumulative_mvr
2020-09-01,Energy and climate,0.0,0.0
2020-10-01,Energy and climate,0.0,0.0
2020-11-01,Energy and climate,0.0,0.0
2020-12-01,Energy and climate,0.0,0.0
2021-01-01,Energy and climate,0.0,0.0
2021-02-01,Energy and climate,0.0,0.0
2021-03-01,Energy and climate,0.0,0.0
2021-04-01,Energy and climate,0.0,0.0
2021-05-01,Energy and climate,0.0,0.0
2021-06-01,Energy and climate,0.0,0.0
2021-07-01,Energy and climate,0.0,0.0
2021-08-01,Energy and climate,0.0,0.0
2021-09-01,Energy and climate,0.0,0.0
2021-10-01,Energy and climate,22328.59,22328.59
2021-11-01,Energy and climate,0.0,22328.59
2021-12-01,Energy and climate,44657.18,66985.77
2022-01-01,Energy and climate,0.0,66985.77
2022-02-01,Energy and climate,0.0,66985.77
2022-03-01,Energy and climate,945000.0,1011985.77
2022-04-01,Energy and climate,0.0,1011985.77
2022-05-01,Energy and climate,0.0,1011985.77
2022-06-01,Energy and climate,0.0,1011985.77
2022-07-01,Energy and climate,0.0,1011985.77
2022-08-01,Energy and climate,0.0,1011985.77
2022-09-01,Energy and climate,0.0,1011985.77
2022-10-01,Energy and climate,0.0,1011985.77
2022-11-01,Energy and climate,0.0,1011985.77
2022-12-01,Energy and climate,440513.37,1452499.14
2023-01-01,Energy and climate,4581.73,1457080.87
2023-02-01,Energy and climate,0.0,1457080.87
2023-03-01,Energy and climate,0.0,1457080.87
2023-04-01,Energy and climate,0.0,1457080.87
2023-05-01,Energy and climate,0.0,1457080.87
2023-06-01,Energy and climate,0.0,1457080.87
2023-07-01,Energy and climate,0.0,1457080.87
2023-08-01,Energy and climate,0.0,1457080.87
2023-09-01,Energy and climate,0.0,1457080.87
2023-10-01,Energy and climate,0.0,1457080.87
2023-11-01,Energy and climate,0.0,1457080.87
2023-12-01,Energy and climate,0.0,1457080.87
2024-01-01,Energy and climate,0.0,1457080.87
2024-02-01,Energy and climate,0.0,1457080.87
2024-03-01,Energy and climate,0.0,1457080.87
2024-04-01,Energy and climate,0.0,1457080.87
2024-05-01,Energy and climate,0.0,1457080.87
2024-06-01,Energy and climate,0.0,1457080.87
2024-07-01,Energy and climate,0.0,1457080.87
2024-08-01,Energy and climate,0.0,1457080.87
2024-09-01,Energy and climate,0.0,1457080.87
2024-10-01,Energy and climate,0.0,1457080.87
2024-11-01,Energy and climate,0.0,1457080.87
2024-12-01,Energy and climate,0.0,1457080.87
2025-01-01,Energy and climate,0.0,1457080.87
2025-02-01,Energy and climate,0.0,1457080.87
2025-03-01,Energy and climate,0.0,1457080.87
2025-04-01,Energy and climate,0.0,1457080.87
2025-05-01,Energy and climate,0.0,1457080.87
2025-06-01,Energy and climate,0.0,1457080.87
2025-07-01,Energy and climate,0.0,1457080.87
2025-08-01,Energy and climate,0.0,1457080.87
2025-09-01,Energy and climate,0.0,1457080.87
2025-10-01,Energy and climate,0.0,1457080.87
2025-11-01,Energy and climate,0.0,1457080.87
2025-12-01,Energy and climate,0.0,1457080.87
2019-01-01,Environmental management,0.0,0.0
2019-02-01,Environmental management,0.0,0.0
2019-03-01,Environmental management,0.0,0.0
2019-04-01,Environmental management,0.0,0.0
2019-05-01,Environmental management,0.0,0.0
2019-06-01,Environmental management,0.0,0.0
2019-07-01,Environmental management,0.0,0.0
2019-08-01,Environmental management,0.0,0.0
2019-09-01,Environmental management,0.0,0.0
2019-10-01,Environmental management,0.0,0.0
2019-11-01,Environmental management,0.0,0.0
2019-12-01,Environmental management,0.0,0.0
2020-01-01,Environmental management,0.0,0.0
2020-02-01,Environmental management,13400.0,13400.0
2020-03-01,Environmental management,6678.0,20078.0
2020-04-01,Environmental management,0.0,20078.0
2020-05-01,Environmental management,0.0,20078.0
2020-06-01,Environmental management,0.0,20078.0
2020-07-01,Environmental management,0.0,20078.0
2020-08-01,Environmental management,0.0,20078.0
2020-09-01,Environmental management,0.0,20078.0
2020-10-01,Environmental management,0.0,20078.0
2020-11-01,Environmental management,0.0,20078.0
2020-12-01,Environmental management,-13400.0,6678.0
2021-01-01,Environmental management,0.0,6678.0
2021-02-01,Environmental management,0.0,6678.0
2021-03-01,Environmental management,0.0,6678.0
2021-04-01,Environmental management,0.0,6678.0
2021-05-01,Environmental management,0.0,6678.0
2021-06-01,Environmental management,0.0,6678.0
2021-07-01,Environmental management,0.0,6678.0
2021-08-01,Environmental management,0.0,6678.0
2021-09-01,Environmental management,0.0,6678.0
2021-10-01,Environmental management,0.0,6678.0
2021-11-01,Environmental management,30500.0,37178.0
2021-12-01,Environmental management,0.0,37178.0
2022-01-01,Environmental management,0.0,37178.0
2022-02-01,Environmental management,1475.69,38653.69
2022-03-01,Environmental management,170705.31,209359.0
2022-04-01,Environmental management,5300.0,214659.0
2022-05-01,Environmental management,21746.85,236405.85
2022-06-01,Environmental management,-3980.0,232425.85
2022-07-01,Environmental management,-230.0,232195.85
2022-08-01,Environmental management,0.0,232195.85
2022-09-01,Environmental management,2323125.0,2555320.85
2022-10-01,Environmental management,94605.0,2649925.85
2022-11-01,Environmental management,359363.85,3009289.7
2022-12-01,Environmental management,320401.67,3329691.37
2023-01-01,Environmental management,0.0,3329691.37
2023-02-01,Environmental management,0.0,3329691.37
2023-03-01,Environmental management,0.0,3329691.37
2023-04-01,Environmental management,0.0,3329691.37
2023-05-01,Environmental management,0.0,3329691.37
2023-06-01,Environmental management,0.0,3329691.37
2023-07-01,Environmental management,0.0,3329691.37
2023-08-01,Environmental management,-0.0,3329691.37
2023-09-01,Environmental management,0.0,3329691.37
2023-10-01,Environmental management,0.0,3329691.37
2023-11-01,Environmental management,0.0,3329691.37
2023-12-01,Environmental management,1040760.0,4370451.37
2024-01-01,Environmental management,32785.4,4403236.77
2024-02-01,Environmental management,49885.4,4453122.17
2024-03-01,Environmental management,85751.68,4538873.85
2024-04-01,Environmental management,164231.13,4703104.98
2024-05-01,Environmental management,4700.0,4707804.98
2024-06-01,Environmental management,51132.9,4758937.88
2024-07-01,Environmental management,49178.1,4808115.98
2024-08-01,Environmental management,49178.1,4857294.08
2024-09-01,Environmental management,68978.1,4926272.18
2024-10-01,Environmental management,63767.39,4990039.57
