month,atoll_code,atoll_label,establishment_type,amount_mvr
2019-05-01,Male,"Malé City",Guesthouse,808339.71
2019-05-01,N,"N. (Noonu)",Resorts,3212032.20
2019-05-01,N,"N. (Noonu)",Guesthouse,21968.28
2019-05-01,R,"R. (Raa)",Resorts,4577457.36
2019-05-01,S,"S. (Addu)",Resorts,766748.16
2019-05-01,S,"S. (Addu)",Hotels,119390.04
2019-05-01,S,"S. (Addu)",Guesthouse,32117.88
2019-05-01,Sh,"Sh. (Shaviyani)",Resorts,433336.32
2019-05-01,Th,"Th. (Thaa)",Guesthouse,2580.48
2019-05-01,V,"V. (Vaavu)",Resorts,1116511.08
2019-05-01,V,"V. (Vaavu)",Guesthouse,256565.73
2019-06-01,AA,"AA. (Alif Alif)",Resorts,4825766.10
2019-06-01,AA,"AA. (Alif Alif)",Guesthouse,295209.63
2019-06-01,ADh,"ADh. (Alif Dhaal)",Resorts,6793614.60
2019-06-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,50604.06
2019-06-01,B,"B. (Baa)",Resorts,3877154.52
2019-06-01,B,"B. (Baa)",Hotels,192890.88
2019-06-01,B,"B. (Baa)",Guesthouse,53445.12
2019-06-01,Dh,"Dh. (Dhaalu)",Resorts,2511791.10
2019-06-01,Dh,"Dh. (Dhaalu)",Guesthouse,552.60
2019-06-01,F,"F. (Faafu)",Guesthouse,12514.08
2019-06-01,GA,"GA. (Gaafu Alif)",Resorts,399237.12
2019-06-01,GA,"GA. (Gaafu Alif)",Hotels,145509.36
2019-06-01,GA,"GA. (Gaafu Alif)",Guesthouse,828.90
2019-06-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,1023806.52
2019-06-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,1934.52
2019-06-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,3638.01
2019-06-01,HA,"HA. (Haa Alif)",Resorts,578313.18
2019-06-01,HA,"HA. (Haa Alif)",Guesthouse,9749.88
2019-06-01,HDh,"HDh. (Haa Dhaalu)",Resorts,11390.64
2019-06-01,HDh,"HDh. (Haa Dhaalu)",Hotels,146626.56
2019-06-01,K,"K. (Kaafu)",Resorts,19576826.94
2019-06-01,K,"K. (Kaafu)",Hotels,133539.84
2019-06-01,K,"K. (Kaafu)",Guesthouse,615072.43
2019-06-01,L,"L. (Laamu)",Resorts,314366.40
2019-06-01,L,"L. (Laamu)",Guesthouse,4740.06
2019-06-01,Lh,"Lh. (Lhaviyani)",Resorts,4356094.38
2019-06-01,Lh,"Lh. (Lhaviyani)",Guesthouse,276.30
2019-06-01,M,"M. (Meemu)",Guesthouse,2582.16
2019-06-01,Male,"Malé City",Hotels,343022.34
2019-06-01,Male,"Malé City",Guesthouse,570901.46
2019-06-01,N,"N. (Noonu)",Resorts,2128126.56
2019-06-01,N,"N. (Noonu)",Guesthouse,1519.17
2019-06-01,R,"R. (Raa)",Resorts,3983661.93
2019-06-01,S,"S. (Addu)",Resorts,371481.84
2019-06-01,S,"S. (Addu)",Hotels,95599.80
2019-06-01,S,"S. (Addu)",Guesthouse,3039.12
2019-06-01,Sh,"Sh. (Shaviyani)",Resorts,202224.00
2019-06-01,Th,"Th. (Thaa)",Resorts,436662.00
2019-06-01,Th,"Th. (Thaa)",Guesthouse,368.64
2019-06-01,V,"V. (Vaavu)",Resorts,747924.12
2019-06-01,V,"V. (Vaavu)",Guesthouse,110026.89
2019-07-01,AA,"AA. (Alif Alif)",Resorts,4382495.42
2019-07-01,AA,"AA. (Alif Alif)",Guesthouse,109399.95
2019-07-01,ADh,"ADh. (Alif Dhaal)",Resorts,4286524.06
2019-07-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,48174.48
2019-07-01,B,"B. (Baa)",Resorts,3412212.95
2019-07-01,B,"B. (Baa)",Hotels,207971.04
2019-07-01,B,"B. (Baa)",Guesthouse,95569.08
2019-07-01,Dh,"Dh. (Dhaalu)",Resorts,2390607.12
2019-07-01,Dh,"Dh. (Dhaalu)",Guesthouse,597.09
2019-07-01,F,"F. (Faafu)",Guesthouse,11224.68
2019-07-01,GA,"GA. (Gaafu Alif)",Resorts,982765.86
2019-07-01,GA,"GA. (Gaafu Alif)",Hotels,101033.70
2019-07-01,GA,"GA. (Gaafu Alif)",Guesthouse,1058.46
2019-07-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,953640.12
2019-07-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,4044.09
2019-07-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,31330.62
2019-07-01,HA,"HA. (Haa Alif)",Resorts,672017.46
2019-07-01,HA,"HA. (Haa Alif)",Guesthouse,827.82
2019-07-01,HDh,"HDh. (Haa Dhaalu)",Resorts,17027.40
2019-07-01,HDh,"HDh. (Haa Dhaalu)",Hotels,89521.20
2019-07-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,2993.25
2019-07-01,K,"K. (Kaafu)",Resorts,18822638.28
2019-07-01,K,"K. (Kaafu)",Hotels,158607.36
2019-07-01,K,"K. (Kaafu)",Guesthouse,662046.53
2019-07-01,L,"L. (Laamu)",Resorts,265383.54
2019-07-01,L,"L. (Laamu)",Guesthouse,6398.01
2019-07-01,Lh,"Lh. (Lhaviyani)",Resorts,3905857.02
