month,atoll_code,atoll_label,establishment_type,usd_amount,mvr_amount
2019-04-01,Male,"Malé City",Guesthouse,51894.71,796426.64
2019-04-01,N,"N. (Noonu)",Resorts,220314.00,3382059.60
2019-04-01,N,"N. (Noonu)",Guesthouse,1524.00,23369.88
2019-04-01,R,"R. (Raa)",Resorts,316705.00,4864842.37
2019-04-01,S,"S. (Addu)",Resorts,49169.00,752938.57
2019-04-01,S,"S. (Addu)",Hotels,18810.00,288169.20
2019-04-01,S,"S. (Addu)",Guesthouse,558.00,8560.38
2019-04-01,Sh,"Sh. (Shaviyani)",Resorts,21420.00,329011.20
2019-04-01,Th,"Th. (Thaa)",Resorts,13542.00,208140.54
2019-04-01,V,"V. (Vaavu)",Resorts,78576.00,1206141.60
2019-04-01,V,"V. (Vaavu)",Guesthouse,23748.00,364568.91
2019-05-01,AA,"AA. (Alif Alif)",Resorts,362727.00,5568305.16
2019-05-01,AA,"AA. (Alif Alif)",Guesthouse,16503.00,253365.39
2019-05-01,ADh,"ADh. (Alif Dhaal)",Resorts,643968.00,9882380.04
2019-05-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,15978.00,245127.54
2019-05-01,B,"B. (Baa)",Resorts,377724.00,5790590.34
2019-05-01,B,"B. (Baa)",Hotels,19368.00,297492.48
2019-05-01,B,"B. (Baa)",Guesthouse,9750.00,149614.44
2019-05-01,Dh,"Dh. (Dhaalu)",Resorts,176880.00,2715028.62
2019-05-01,Dh,"Dh. (Dhaalu)",Guesthouse,24.00,367.68
2019-05-01,F,"F. (Faafu)",Guesthouse,444.00,6810.96
2019-05-01,GA,"GA. (Gaafu Alif)",Resorts,62814.00,963946.80
2019-05-01,GA,"GA. (Gaafu Alif)",Hotels,17088.00,262471.68
2019-05-01,GA,"GA. (Gaafu Alif)",Guesthouse,327.00,5019.45
2019-05-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,98502.00,1512990.72
2019-05-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,39.00,598.65
2019-05-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,585.00,8982.84
2019-05-01,HA,"HA. (Haa Alif)",Resorts,72480.00,1113292.80
2019-05-01,HA,"HA. (Haa Alif)",Guesthouse,960.00,14736.84
2019-05-01,HDh,"HDh. (Haa Dhaalu)",Resorts,23214.00,356018.58
2019-05-01,HDh,"HDh. (Haa Dhaalu)",Hotels,14508.00,222842.88
2019-05-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,357.00,5475.48
2019-05-01,K,"K. (Kaafu)",Resorts,1782716.00,27359381.04
2019-05-01,K,"K. (Kaafu)",Hotels,12024.00,184688.64
2019-05-01,K,"K. (Kaafu)",Guesthouse,86601.00,1328763.27
2019-05-01,L,"L. (Laamu)",Resorts,31410.00,481829.40
2019-05-01,L,"L. (Laamu)",Guesthouse,495.00,7598.25
2019-05-01,Lh,"Lh. (Lhaviyani)",Resorts,302196.00,4638595.68
2019-05-01,Lh,"Lh. (Lhaviyani)",Guesthouse,45.00,690.21
2019-05-01,M,"M. (Meemu)",Guesthouse,60.00,921.60
2019-05-01,Male,"Malé City",Hotels,36732.00,563796.72
2019-05-01,Male,"Malé City",Guesthouse,52672.29,808339.71
2019-05-01,N,"N. (Noonu)",Resorts,209160.00,3212032.20
2019-05-01,N,"N. (Noonu)",Guesthouse,1431.00,21968.28
2019-05-01,R,"R. (Raa)",Resorts,298194.00,4577457.36
2019-05-01,S,"S. (Addu)",Resorts,49944.00,766748.16
2019-05-01,S,"S. (Addu)",Hotels,7788.00,119390.04
2019-05-01,S,"S. (Addu)",Guesthouse,2091.00,32117.88
2019-05-01,Sh,"Sh. (Shaviyani)",Resorts,28212.00,433336.32
2019-05-01,Th,"Th. (Thaa)",Guesthouse,168.00,2580.48
2019-05-01,V,"V. (Vaavu)",Resorts,72762.00,1116511.08
2019-05-01,V,"V. (Vaavu)",Guesthouse,16713.00,256565.73
2019-06-01,AA,"AA. (Alif Alif)",Resorts,314352.00,4825766.10
2019-06-01,AA,"AA. (Alif Alif)",Guesthouse,19230.00,295209.63
2019-06-01,ADh,"ADh. (Alif Dhaal)",Resorts,442506.00,6793614.60
2019-06-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,3297.00,50604.06
2019-06-01,B,"B. (Baa)",Resorts,252624.00,3877154.52
2019-06-01,B,"B. (Baa)",Hotels,12558.00,192890.88
2019-06-01,B,"B. (Baa)",Guesthouse,3480.00,53445.12
2019-06-01,Dh,"Dh. (Dhaalu)",Resorts,163596.00,2511791.10
2019-06-01,Dh,"Dh. (Dhaalu)",Guesthouse,36.00,552.60
2019-06-01,F,"F. (Faafu)",Guesthouse,816.00,12514.08
2019-06-01,GA,"GA. (Gaafu Alif)",Resorts,25992.00,399237.12
2019-06-01,GA,"GA. (Gaafu Alif)",Hotels,9498.00,145509.36
2019-06-01,GA,"GA. (Gaafu Alif)",Guesthouse,54.00,828.90
2019-06-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,66702.00,1023806.52
2019-06-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,126.00,1934.52
2019-06-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,237.00,3638.01
2019-06-01,HA,"HA. (Haa Alif)",Resorts,37662.00,578313.18
2019-06-01,HA,"HA. (Haa Alif)",Guesthouse,636.00,9749.88
2019-06-01,HDh,"HDh. (Haa Dhaalu)",Resorts,744.00,11390.64
2019-06-01,HDh,"HDh. (Haa Dhaalu)",Hotels,9546.00,146626.56
2019-06-01,K,"K. (Kaafu)",Resorts,1275210.00,19576826.94
2019-06-01,K,"K. (Kaafu)",Hotels,8694.00,133539.84
2019-06-01,K,"K. (Kaafu)",Guesthouse,40104.00,615072.43
2019-06-01,L,"L. (Laamu)",Resorts,20520.00,314366.40
2019-06-01,L,"L. (Laamu)",Guesthouse,309.00,4740.06
2019-06-01,Lh,"Lh. (Lhaviyani)",Resorts,283962.00,4356094.38
2019-06-01,Lh,"Lh. (Lhaviyani)",Guesthouse,18.00,276.30
2019-06-01,M,"M. (Meemu)",Guesthouse,168.00,2582.16
2019-06-01,Male,"Malé City",Hotels,22350.00,343022.34
2019-06-01,Male,"Malé City",Guesthouse,37196.00,570901.46
2019-06-01,N,"N. (Noonu)",Resorts,138696.00,2128126.56
2019-06-01,N,"N. (Noonu)",Guesthouse,99.00,1519.17
2019-06-01,R,"R. (Raa)",Resorts,259579.00,3983661.93
2019-06-01,S,"S. (Addu)",Resorts,24264.00,371481.84
2019-06-01,S,"S. (Addu)",Hotels,6228.00,95599.80
2019-06-01,S,"S. (Addu)",Guesthouse,198.00,3039.12
2019-06-01,Sh,"Sh. (Shaviyani)",Resorts,13200.00,202224.00
2019-06-01,Th,"Th. (Thaa)",Resorts,28482.00,436662.00
2019-06-01,Th,"Th. (Thaa)",Guesthouse,24.00,368.64
2019-06-01,V,"V. (Vaavu)",Resorts,48852.00,747924.12
2019-06-01,V,"V. (Vaavu)",Guesthouse,7167.00,110026.89
2019-07-01,AA,"AA. (Alif Alif)",Resorts,286094.00,4382495.42
2019-07-01,AA,"AA. (Alif Alif)",Guesthouse,7143.00,109399.95
2019-07-01,ADh,"ADh. (Alif Dhaal)",Resorts,279760.00,4286524.06
2019-07-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,3144.00,48174.48
2019-07-01,B,"B. (Baa)",Resorts,222739.00,3412212.95
2019-07-01,B,"B. (Baa)",Hotels,13584.00,207971.04
2019-07-01,B,"B. (Baa)",Guesthouse,6240.00,95569.08
2019-07-01,Dh,"Dh. (Dhaalu)",Resorts,155820.00,2390607.12
2019-07-01,Dh,"Dh. (Dhaalu)",Guesthouse,39.00,597.09
2019-07-01,F,"F. (Faafu)",Guesthouse,732.00,11224.68
2019-07-01,GA,"GA. (Gaafu Alif)",Resorts,64170.00,982765.86
2019-07-01,GA,"GA. (Gaafu Alif)",Hotels,6582.00,101033.70
2019-07-01,GA,"GA. (Gaafu Alif)",Guesthouse,69.00,1058.46
2019-07-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,62142.00,953640.12
2019-07-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,264.00,4044.09
2019-07-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,2043.00,31330.62
